CAMPO,DESCRIPCION,TIPO_DATO,LONGITUD,RANGO_VALIDO,METADATOS
CD_A,Ciudad autorrepresentada,Varchar,2,[01-43],Ciudad autorrepresentada
,,,,1,México
,,,,2,Guadalajara
,,,,3,Monterrey
,,,,4,Puebla
,,,,5,León
,,,,7,San Luis Potosí
,,,,8,Mérida
,,,,9,Chihuahua
,,,,10,Tampico
,,,,12,Veracruz
,,,,13,Acapulco
,,,,14,Aguascalientes
,,,,15,Morelia
,,,,16,Toluca
,,,,17,Saltillo
,,,,18,Villahermosa
,,,,19,Tuxtla Gutiérrez
,,,,21,Tijuana
,,,,24,Culiacán
,,,,25,Hermosillo
,,,,26,Durango
,,,,27,Tepic
,,,,28,Campeche
,,,,29,Cuernavaca
,,,,31,Oaxaca
,,,,32,Zacatecas
,,,,33,Colima
,,,,36,Querétaro
,,,,39,Tlaxcala
,,,,40,La Paz
,,,,41,Cancún
,,,,43,Pachuca
PER,Periodo de levantamiento,Varchar,4,[0001-9999],Periodo de levantamiento
ENT,Entidad,Varchar,2,[01-32],Entidad
,,,,1,Aguascalientes
,,,,2,Baja California
,,,,3,Baja California Sur
,,,,4,Campeche
,,,,5,Coahuila de Zaragoza
,,,,6,Colima
,,,,7,Chiapas
,,,,8,Chihuahua
,,,,9,Distrito Federal
,,,,10,Durango
,,,,11,Guanajuato
,,,,12,Guerrero
,,,,13,Hidalgo
,,,,14,Jalisco
,,,,15,México
,,,,16,Michoacán de Ocampo
,,,,17,Morelos
,,,,18,Nayarit
,,,,19,Nuevo León
,,,,20,Oaxaca
,,,,21,Puebla
,,,,22,Querétaro
,,,,23,Quintana Roo
,,,,24,San Luis Potosí
,,,,25,Sinaloa
,,,,26,Sonora
,,,,27,Tabasco
,,,,28,Tamaulipas
,,,,29,Tlaxcala
,,,,30,Veracruz de Ignacio de la Llave
,,,,31,Yucatán
,,,,32,Zacatecas
CON,Control,Varchar,5,[00001-99999],Control
V_SEL,Vivienda seleccionada,Varchar,1,[1-9],Vivienda seleccionada
N_HOG,Número de hogar,Varchar,1,[1-9],Número de hogar
N_REN,Número de renglón,Varchar,2,[01-30],Número de renglón
,,,,,Dígame si son ciertas o falsas cada una de las siguientes afirmaciones.
S4P18_1,El centro de la tierra es muy caliente,Int,1,[1-3],El centro de la tierra es muy caliente
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_2,Toda la radioactividad está hecha por el hombre,Int,1,[1-3],"Toda la radioactividad está
hecha por el hombre"
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_3,Todo el oxígeno que respiramos proviene de las plantas,Int,1,[1-3],Todo el oxígeno que respiramos proviene de las plantas
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_4,El gen del padre es el que decide si el bebé es niño o niña,Int,1,[1-3],"El gen del padre es el que de-
cide si el bebé es niño o niña"
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_5,El rayo láser trabaja por el enfoque de ondas sonoras,Int,1,[1-3],El rayo láser trabaja por el enfoque de ondas sonoras
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_6,Los electrones son más pequeños que los átomos,Int,1,[1-3],Los electrones son más pequeños que los átomos
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_7,Los antibióticos sirven para tratar enfermedades causadas tanto por virus como por bacterias,Int,1,[1-3],Los antibióticos sirven para tratar enfermedades causadas tanto por virus como por bacterias
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_8,El universo inició con una gran explosión,Int,1,[1-3],El universo inició con una gran explosión
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_9,Alemania ganó la 2a Guerra Mundial,Int,1,[1-3],Alemania ganó la 2a Guerra Mundial
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_10,Los seres humanos de hoy se desarrollaron a partir de la evolución de otras especies animales,Int,1,[1-3],Los seres humanos de hoy se desarrollaron a partir de la evolución de otras especies animales
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_11,Fumar puede causar cáncer pulmonar,Int,1,[1-3],Fumar puede causar cáncer pulmonar
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_12,Los primeros humanos vivieron en la misma época que los dinosaurios,Int,1,[1-3],Los primeros humanos vivieron en la misma época que los dinosaurios
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_13,Existe el premio Nobel de matemáticas,Int,1,[1-3],Existe el premio Nobel de matemáticas
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_14,"Mario Molina, premio Nobel de Química, es mexicano",Int,1,[1-3],"Mario Molina, premio Nobel de Química, es mexicano"
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_15,"México limita al sur
con el Salvador",Int,1,[1-3],"México limita al sur con el
Salvador"
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_16,En México hay plantas nucleares,Int,1,[1-3],En México hay plantas nucleares
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_17,La tierra da la vuelta al sol en un mes,Int,1,[1-3],La tierra da la vuelta al sol en un mes
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_18,El sonido viaja más rápido que la luz,Int,1,[1-3],El sonido viaja más rápido que la luz
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_19,Al menos cinco mexicanos han ganado el premio Nobel,Int,1,[1-3],"Al menos cinco mexicanos han
ganado el premio Nobel"
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P18_20,"El hombre ya ha
llegado a la luna",Int,1,[1-3],"El hombre ya ha llegado a la
luna"
,,,,1,Cierto
,,,,2,Falso
,,,,3,No sabe
S4P19,"Un doctor le dice a una pareja que tiene una posibilidad del 25% de tener un hijo con una enfermedad congénita, ¿esto significa que. . .",Int,1,[1-6],"Un doctor le dice a una pareja que tiene una posibilidad del 25% de tener un hijo con una enfermedad congénita, ¿esto significa que. . ."
,,,,1,"sus primeros tres hijos nacerán sanos, mientras que el cuarto tendrá la enfermedad?"
,,,,2,"el primer hijo nacerá con la enfermedad, mientras que los siguientes tres no la tendrán?"
,,,,3,cada hijo de la pareja tendrá el mismo riesgo de nacer con la enfermedad?
,,,,4,"si sólo tienen tres hijos, ninguno tendrá la enfermedad?"
,,,,5,si tiene cuatro hijos uno de ellos tendrá la enfermedad congénita?
,,,,6,No sabe
S4P20,"Un médico quiere probar un medicamento para combatir una enfermedad para la cual no hay cura comprobada; en su opinión, ¿cuál de las siguientes acciones es más eficaz para probar la efectividad de la medicina?",Int,1,[1-4],"Un médico quiere probar un medicamento para combatir una enfermedad para la cual no hay cura comprobada;  en su opinión, ¿cuál de las siguientes acciones es más
eficaz para probar la efectividad de la medicina?"
,,,,1,Administrar el medicamento a 1 000 personas con la enfermedad y ver cuántas muestran signos de recuperación
,,,,2,"Tratar a 500 personas con la medicina y a las otras 500 no, y observar quienes presentan signos de recuperación"
,,,,3,"Tratar con medicina a 500 personas y a otras 500 personas con una pastilla que no produce ningún efecto en el cuerpo humano, y comparar ambos resultados"
,,,,4,No sabe
,,,,,"De la siguiente lista de alternativas para generar energía eléctrica, evalúe cada una de ellas como nada contaminante (limpia), poco contaminan-
te, algo contaminante, muy contaminante y excesivamente contaminante."
S4P21_1,Plantas nucleares (uso de combustible nuclear: uranio y/o plutonio),Int,1,[1-6],Plantas nucleares (uso de combustible nuclear: uranio y/o plutonio)
,,,,1,Nada contaminante (limpia)
,,,,2,Poco contaminante
,,,,3,Algo contaminante
,,,,4,Muy contaminante
,,,,5,Excesivamente contaminante
,,,,6,No sabe
S4P21_2,Hidroeléctricas (uso de la fuerza en la caída de agua),Int,1,[1-6],Hidroeléctricas (uso de la fuerza en la caída de agua)
,,,,1,Nada contaminante (limpia)
,,,,2,Poco contaminante
,,,,3,Algo contaminante
,,,,4,Muy contaminante
,,,,5,Excesivamente contaminante
,,,,6,No sabe
S4P21_3,"Termoeléctricas (uso de combustibles fósiles: petróleo, carbón y sus derivados)",Int,1,[1-6],"Termoeléctricas (uso de combustibles fósiles: petróleo, carbón y sus derivados)"
,,,,1,Nada contaminante (limpia)
,,,,2,Poco contaminante
,,,,3,Algo contaminante
,,,,4,Muy contaminante
,,,,5,Excesivamente contaminante
,,,,6,No sabe
S4P21_4,Eólicas (uso de la fuerza de los vientos),Int,1,[1-6],Eólicas (uso de la fuerza de los vientos)
,,,,1,Nada contaminante (limpia)
,,,,2,Poco contaminante
,,,,3,Algo contaminante
,,,,4,Muy contaminante
,,,,5,Excesivamente contaminante
,,,,6,No sabe
S4P21_5,Solar (uso de celdas o páneles solares),Int,1,[1-6],Solar (uso de celdas o páneles solares)
,,,,1,Nada contaminante (limpia)
,,,,2,Poco contaminante
,,,,3,Algo contaminante
,,,,4,Muy contaminante
,,,,5,Excesivamente contaminante
,,,,6,No sabe
S4P21_6,Geotérmicas (uso del calor interior de la tierra),Int,1,[1-6],"Geotérmicas (uso del calor
interior de la tierra)"
,,,,1,Nada contaminante (limpia)
,,,,2,Poco contaminante
,,,,3,Algo contaminante
,,,,4,Muy contaminante
,,,,5,Excesivamente contaminante
,,,,6,No sabe
S4P21_7,Ciclo combinado que utiliza gas natural (uso de vapor de agua y gas),Int,1,[1-6],Ciclo combinado que utiliza gas natural (uso de vapor de agua y gas)
,,,,1,Nada contaminante (limpia)
,,,,2,Poco contaminante
,,,,3,Algo contaminante
,,,,4,Muy contaminante
,,,,5,Excesivamente contaminante
,,,,6,No sabe
,,,,,"Dígame por favor si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con las siguientes afirmaciones como las que podría usted encontrar en un periódico o revista."
S4P22_1,El progreso científico y tecnológico ayudará a encontrar la cura para enfermedades como el SIDA y el cáncer,Int,1,[1-5],El progreso científico y tecnológico ayudará a encontrar la cura para enfermedades como el SIDA y el cáncer
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_2,Gracias a la ciencia y la tecnología habrá más oportunidades para las próximas generaciones,Int,1,[1-5],Gracias a la ciencia y la tecnología habrá más oportunidades para las próximas generaciones
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_3,"La ciencia y la tecnología hacen nuestras vidas más fáciles, confortables y con mayores niveles de salud",Int,1,[1-5],"La ciencia y la tecnología hacen nuestras vidas más fáciles, confortables y con mayores niveles de salud"
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_4,Con la aplicación de la ciencia y nuevas tecnologías el trabajo será más interesante,Int,1,[1-5],Con la aplicación de la ciencia y nuevas tecnologías el trabajo será más interesante
,,,,1,Muy de acuerdo
,,,,2,De acuerdo
,,,,3,En desacuerdo
,,,,4,Muy en desacuerdo
,,,,5,No sabe
S4P22_5,La ciencia y la tecnología juegan un papel muy importante en la protección y restauración del medio ambiente,Int,1,[1-5],La ciencia y la tecnología juegan un papel muy importante en la protección y restauración del medio ambiente
